Player,MPG,AST,TOV,AST/TOV,AST%,TOV%,SOS
Chris Paul,33.5,6.3,2.7,2.3,32.3,18.3,10.65
Dwyane Wade,30.7,2.3,3.1,0.7,27.9,15.0,6.03
James Harden,35.0,1.9,3.0,0.6,27.0,16.4,7.05
Stephen Curry,32.6,2.1,3.0,0.7,40.2,12.9,-1.31
Russell Westbrook,21.9,2.5,1.6,1.6,24.4,17.2,8.77
Kyle Lowry,26.7,3.0,1.9,1.6,25.9,17.7,8.83
Deron Williams,31.7,5.9,2.4,2.5,33.5,18.8,7.44
Mike Conley,31.6,6.1,2.2,2.8,36.6,18.6,9.03
Kevin Martin,31.8,1.7,2.9,0.6,10.2,13.2,-3.74
Damian Lillard,32.3,3.5,2.4,1.5,24.3,13.4,-2.21
George Hill,33.3,1.6,2.5,0.6,22.3,15.7,-3.26
Rajon Rondo,28.1,4.2,2.2,1.9,28.9,19.5,8.49
Devin Harris,35.0,3.1,1.8,1.7,28.8,12.4,7.74
J.J. Redick,34.0,2.2,2.1,1.0,12.7,11.6,9.51
Kirk Hinrich,29.7,1.5,2.7,0.6,25.3,21.1,9.68
Kyrie Irving,27.5,4.3,2.5,1.7,29.8,16.4,8.31
Jameer Nelson,34.5,5.7,3.0,1.9,33.4,17.2,4.12
Jeff Teague,30.9,3.0,3.0,1.0,16.7,17.4,8.09
John Wall,34.8,6.5,4.0,1.6,34.8,21.4,6.82
Darren Collison,29.2,4.1,2.4,1.7,24.4,19.8,8.25
Ty Lawson,27.0,5.8,2.1,2.8,34.4,16.6,8.59
Kemba Walker,32.9,4.1,2.3,1.8,26.6,13.5,9.39
Raymond Felton,33.9,6.9,3.6,1.9,35.1,24.0,11.00
Courtney Lee,31.2,2.2,2.5,0.9,15.1,14.1,-1.08
Brandon Roy,27.5,3.0,2.1,1.4,20.1,14.7,6.83
Jarrett Jack,32.3,5.4,3.3,1.6,26.2,23.8,9.64
Luke Ridnour,33.6,5.2,3.2,1.6,35.1,20.3,6.98
D.J. Augustin,36.5,1.4,3.0,0.5,34.3,16.9,7.35
Derrick Rose,29.2,4.7,2.7,1.7,30.4,16.7,5.76
