Player,Pk,Age at Draft,Height (in),MPG-NBA,AST-NBA,TOV-NBA,AST/TOV-NBA,AST%-NBA,TOV%-NBA,MPG-Col,AST-Col,TOV-Col,AST/TOV-Col,AST%-Col,TOV%-Col,SOS-Col
Chris Paul,4,20.058,72,35.3,9.8,2.4,4.1,46.8,13.0,33.5,6.3,2.7,2.3,32.3,18.3,10.65
Dwyane Wade,5,21.165,76,34.5,5.5,3.2,1.7,30.6,13.7,30.7,2.3,3.1,0.7,27.9,15.0,6.03
James Harden,3,19.308,77,33.8,6.1,3.5,1.7,30.9,15.5,35.0,1.9,3.0,0.6,27.0,16.4,7.05
Stephen Curry,7,21.108,75,34.4,6.8,3.2,2.1,32.3,14.5,32.6,2.1,3.0,0.7,40.2,12.9,-1.31
Russell Westbrook,4,19.231,75,34.4,8.2,4.0,2.1,42.4,15.7,21.9,2.5,1.6,1.6,24.4,17.2,8.77
Kyle Lowry,24,20.1,72,31.1,5.9,2.2,2.7,30.2,14.8,26.7,3.0,1.9,1.6,25.9,17.7,8.83
Deron Williams,3,21.007,75,34.2,8.1,2.8,2.9,39.5,16.1,31.7,5.9,2.4,2.5,33.5,18.8,7.44
Mike Conley,4,19.265,73,32.5,5.7,2.0,2.9,28.5,13.4,31.6,6.1,2.2,2.8,36.6,18.6,9.03
Kevin Martin,26,21.149,79,30.2,1.9,1.7,1.1,10.6,10.2,31.8,1.7,2.9,0.6,10.2,13.2,-3.74
Damian Lillard,6,21.354,74,36.4,6.2,2.8,2.2,29.3,12.0,32.3,3.5,2.4,1.5,24.3,13.4,-2.21
George Hill,26,22.059,74,28.8,3.3,1.3,2.5,18.5,11.4,33.3,1.6,2.5,0.6,22.3,15.7,-3.26
Rajon Rondo,21,20.131,73,31.8,8.5,2.9,2.9,41.5,21.5,28.1,4.2,2.2,1.9,28.9,19.5,8.49
Devin Harris,5,21.123,75,25.0,4.1,1.8,2.3,27.0,15.0,35.0,3.1,1.8,1.7,28.8,12.4,7.74
J.J. Redick,11,22.009,76,25.4,2.0,1.1,1.8,12.4,9.5,34.0,2.2,2.1,1.0,12.7,11.6,9.51
Kirk Hinrich,7,22.18,75,30.7,4.8,1.8,2.7,25.7,14.8,29.7,1.5,2.7,0.6,25.3,21.1,9.68
Kyrie Irving,1,19.096,74,33.9,5.5,2.7,2.0,30.1,12.1,27.5,4.3,2.5,1.7,29.8,16.4,8.31
Jameer Nelson,20,22.141,72,27.9,5.1,2.1,2.4,30.1,16.4,34.5,5.7,3.0,1.9,33.4,17.2,4.12
Jeff Teague,19,21.02,74,27.6,5.7,2.3,2.5,32.8,16.4,30.9,3.0,3.0,1.0,16.7,17.4,8.09
John Wall,1,19.296,76,35.9,9.2,3.8,2.4,42.6,17.3,34.8,6.5,4.0,1.6,34.8,21.4,6.82
Darren Collison,21,21.312,73,29.5,4.9,2.0,2.5,26.2,15.1,29.2,4.1,2.4,1.7,24.4,19.8,8.25
Ty Lawson,18,21.24,71,29.2,6.0,2.1,2.9,32.2,15.6,27.0,5.8,2.1,2.8,34.4,16.6,8.59
Kemba Walker,9,21.051,73,33.9,5.4,2.1,2.6,28.6,10.6,32.9,4.1,2.3,1.8,26.6,13.5,9.39
Raymond Felton,5,21.007,73,30.3,5.4,2.1,2.6,29.0,15.6,33.9,6.9,3.6,1.9,35.1,24.0,11.00
Courtney Lee,22,22.272,77,28.1,1.7,1.0,1.7,9.6,9.7,31.2,2.2,2.5,0.9,15.1,14.1,-1.08
Brandon Roy,6,21.345,78,35.5,4.7,1.8,2.6,23.9,9.6,27.5,3.0,2.1,1.4,20.1,14.7,6.83
Jarrett Jack,22,21.249,75,27.8,4.6,2.0,2.3,26.1,16.5,32.3,5.4,3.3,1.6,26.2,23.8,9.64
Luke Ridnour,14,22.138,74,26.1,4.5,1.6,2.8,27.5,15.3,33.6,5.2,3.2,1.6,35.1,20.3,6.98
