Player,MPG,AST,TOV,AST/TOV,AST%,TOV%
Chris Paul,35.3,9.8,2.4,4.1,46.8,13.0
Dwyane Wade,34.5,5.5,3.2,1.7,30.6,13.7
James Harden,33.8,6.1,3.5,1.7,30.9,15.5
Stephen Curry,34.4,6.8,3.2,2.1,32.3,14.5
Russell Westbrook,34.4,8.2,4.0,2.1,42.4,15.7
Kyle Lowry,31.1,5.9,2.2,2.7,30.2,14.8
Deron Williams,34.2,8.1,2.8,2.9,39.5,16.1
Mike Conley,32.5,5.7,2.0,2.9,28.5,13.4
Kevin Martin,30.2,1.9,1.7,1.1,10.6,10.2
Damian Lillard,36.4,6.2,2.8,2.2,29.3,12.0
George Hill,28.8,3.3,1.3,2.5,18.5,11.4
Rajon Rondo,31.8,8.5,2.9,2.9,41.5,21.5
Devin Harris,25.0,4.1,1.8,2.3,27.0,15.0
J.J. Redick,25.4,2.0,1.1,1.8,12.4,9.5
Kirk Hinrich,30.7,4.8,1.8,2.7,25.7,14.8
Kyrie Irving,33.9,5.5,2.7,2.0,30.1,12.1
Jameer Nelson,27.9,5.1,2.1,2.4,30.1,16.4
Jeff Teague,27.6,5.7,2.3,2.5,32.8,16.4
John Wall,35.9,9.2,3.8,2.4,42.6,17.3
Darren Collison,29.5,4.9,2.0,2.5,26.2,15.1
Ty Lawson,29.2,6.0,2.1,2.9,32.2,15.6
Kemba Walker,33.9,5.4,2.1,2.6,28.6,10.6
Raymond Felton,30.3,5.4,2.1,2.6,29.0,15.6
Courtney Lee,28.1,1.7,1.0,1.7,9.6,9.7
Brandon Roy,35.5,4.7,1.8,2.6,23.9,9.6
Jarrett Jack,27.8,4.6,2.0,2.3,26.1,16.5
Luke Ridnour,26.1,4.5,1.6,2.8,27.5,15.3
D.J. Augustin,23.6,3.8,1.5,2.5,26.7,14.7
Derrick Rose,33.8,5.7,2.8,2.0,30.4,13.2
Jrue Holiday,32.8,6.2,2.7,2.3,30.8,15.9
Arron Afflalo,27.3,1.8,1.1,1.6,10.6,10.4
Ben Gordon,27.4,2.5,2.1,1.2,16.5,13.3
Eric Gordon,33.2,3.1,2.1,1.5,15.2,12.4
Bradley Beal,33.9,3.4,2.0,1.7,16.6,10.6
Eric Bledsoe,27.7,4.7,2.7,1.7,27.0,17.9
Rodney Stuckey,27.5,3.6,1.8,2.0,21.9,12.9
Nate Robinson,22.5,3.0,1.4,2.1,22.6,12.0
Delonte West,27.4,3.6,1.6,2.3,21.1,15.2
Randy Foye,25.6,2.8,1.5,1.9,17.5,13.0
Reggie Jackson,24.8,4.4,2.0,2.2,29.9,14.1
CJ McCollum,29.2,2.9,1.8,1.6,17.2,10.2
Victor Oladipo,33.4,3.8,2.6,1.5,18.9,13.9
O.J. Mayo,30.9,2.9,2.1,1.4,15.6,13.7
Kentavious Caldwell-Pope,30.8,1.7,1.1,1.5,8.3,8.4
Aaron Brooks,20.8,3.0,1.6,1.9,23.6,14.4
Jerryd Bayless,21.4,2.8,1.4,2.0,21.0,15.1
Evan Turner,27.9,3.5,1.8,1.9,19.4,15.0
Gerald Henderson,25.9,1.9,1.2,1.6,12.8,9.9
Cory Joseph,20.8,2.6,1.0,2.6,18.5,12.8
T.J. Ford,27.7,5.8,2.4,2.4,34.1,18.0
Wayne Ellington,21.0,1.1,0.7,1.6,8.0,8.2
Luther Head,22.4,2.1,1.3,1.6,15.9,14.3
Avery Bradley,28.4,1.7,1.5,1.1,10.0,10.8
Jordan Farmar,19.5,2.9,1.4,2.1,23.6,15.9
Gary Harris,28.4,2.1,1.3,1.6,11.3,10.8
Tim Hardaway,25.0,1.7,1.0,1.7,11.3,8.5
Greivis Vasquez,23.7,4.8,1.9,2.5,33.5,17.6
Toney Douglas,19.1,2.3,1.0,2.3,18.5,12.4
Elfrid Payton,29.5,6.4,2.4,2.7,33.9,17.8
Brandon Knight,31.3,4.3,2.7,1.6,23.5,15.4
Alec Burks,21.0,1.6,1.3,1.2,13.1,12.3
Iman Shumpert,25.4,1.9,1.2,1.6,11.3,14.3
Marcus Smart,28.7,3.9,1.8,2.2,19.6,15.1
Shannon Brown,18.0,1.1,0.9,1.2,10.2,10.9
Trey Burke,24.4,3.8,1.4,2.7,26.2,11.2
Austin Rivers,24.3,2.4,1.2,2.0,15.2,11.7
Dion Waiters,28.7,2.8,1.9,1.5,16.1,12.1
Jamal Murray,26.6,2.7,1.7,1.6,15.4,12.7
Terry Rozier,18.9,2.1,0.8,2.6,16.6,9.3
Marcus Banks,16.0,2.1,1.3,1.6,21.2,18.1
Jerian Grant,18.7,3.0,1.0,3.0,24.2,13.9
Jordan Crawford,24.4,3.1,1.9,1.6,22.3,13.4
Devin Booker,32.2,3.5,2.9,1.2,18.4,13.5
Delon Wright,17.1,2.3,1.0,2.3,19.6,14.2
Tyus Jones,15.7,2.8,0.7,4.0,24.4,15.0
Zach LaVine,28.7,3.2,2.1,1.5,18.6,13.8
Donovan Mitchell,33.4,3.7,2.7,1.4,19.4,12.6
Daequan Cook,18.3,0.7,0.5,1.4,6.6,7.6
Kirk Snyder,16.8,1.1,1.0,1.1,11.5,13.8
Ben McLemore,24.5,1.2,1.3,0.9,7.3,13.2
Michael Carter-Williams,27.5,4.9,2.7,1.8,29.1,18.1
Shane Larkin,19.1,2.9,1.2,2.4,22.9,17.7
Shabazz Napier,15.7,1.9,1.1,1.7,18.1,16.9
Justin Anderson,14.3,0.7,0.6,1.2,7.9,10.4
Buddy Hield,24.1,1.7,1.4,1.2,11.6,11.3
Rashad McCants,20.2,1.3,1.5,0.9,11.5,13.4
Josh Hart,23.2,1.3,0.7,1.9,7.6,10.1
Eric Maynor,14.6,2.8,1.1,2.5,29.5,18.8
Dejounte Murray,17.4,2.3,1.4,1.6,20.6,17.6
Denzel Valentine,22.9,2.3,1.1,2.1,15.1,12.5
Norris Cole,22.3,2.7,1.4,1.9,18.8,16.4
John Jenkins,12.8,0.8,0.6,1.3,9.9,11.6
Nik Stauskas,21.1,1.6,1.1,1.5,11.7,13.9
Luke Kennard,20.0,1.7,0.9,1.9,12.7,12.2
Jimmer Fredette,13.4,1.4,0.9,1.6,16.8,13.9
Lonzo Ball,34.2,7.2,2.6,2.8,29.2,18.6
Cameron Payne,15.4,2.4,1.0,2.4,23.7,13.4
D'Angelo Russell,27.8,4.3,2.7,1.6,26.5,16.0
Acie Law,12.7,1.6,0.8,2.0,19.6,16.5
Tyler Ennis,12.6,1.9,0.9,2.1,22.8,17.5
Archie Goodwin,14.5,1.2,1.2,1.0,13.7,16.8
Kendall Marshall,19.3,4.9,1.8,2.7,37.1,25.8
Kris Dunn,22.0,3.8,1.8,2.1,26.8,18.5
Xavier Henry,15.7,0.6,0.8,0.8,6.5,11.3
Elliot Williams,13.5,0.9,0.7,1.3,9.8,13.0
Malik Beasley,8.9,0.5,0.4,1.3,8.0,10.6
Derrick White,8.2,0.5,0.4,1.3,9.3,12.6
Jordan Adams,8.2,0.6,0.5,1.2,11.4,13.3
Dominique Jones,9.3,1.8,1.0,1.8,29.2,21.7
R.J. Hunter,8.4,0.4,0.3,1.3,6.3,9.6
Jared Cunningham,7.2,0.5,0.4,1.3,9.3,13.2
Markelle Fultz,18.1,3.8,1.2,3.2,31.3,12.4
Javaris Crittenton,16.4,1.8,1.2,1.5,16.8,18.5
J.R. Giddens,6.5,0.3,0.5,0.6,7.9,19.8
C.J. Wilcox,5.7,0.5,0.3,1.7,11.8,11.2
Julius Hodge,4.3,0.8,0.5,1.6,26.7,26.6
Quincy Douby,10.7,0.7,0.6,1.2,9.9,12.5
Marcus Williams,15.2,2.8,1.5,1.9,30.4,19.8
Morris Almond,9.5,0.3,0.5,0.6,4.9,12.9
Wade Baldwin,12.1,1.7,1.1,1.5,20.6,21.5
Malachi Richardson,10.9,0.5,0.4,1.3,6.8,9.3
Malik Monk,13.6,1.4,0.8,1.8,16.9,9.8
Troy Bell,5.7,0.7,1.0,0.7,18.7,23.7
Reece Gaines,8.5,0.7,0.4,1.8,12.5,13.8
Rashad Vaughn,12.0,0.5,0.3,1.7,6.4,8.9
De'Aaron Fox,27.8,4.4,2.4,1.8,24.6,16.4
Dennis Smith,29.7,5.2,2.8,1.9,29.5,15.0
Nolan Smith,9.9,1.2,0.8,1.5,18.8,18.2
Maurice Ager,6.2,0.2,0.4,0.5,6.1,12.0
Marquis Teague,10.0,1.5,0.8,1.9,23.1,22.0
Jonny Flynn,22.9,3.9,2.3,1.7,26.7,19.9
Tony Wroten,21.2,3.0,2.6,1.2,25.5,18.6
Mardy Collins,14.7,1.7,1.1,1.5,18.5,19.1
